id,brand,model,brand_names,model_names
10312,STS,8489-10,СТС,
10313,STS,9447-10,СТС,
10314,STS,94471-10-01,СТС,
10315,STS,94471-10-02,СТС,
10770,STS,94472-10,СТС,
10318,STS,94473-10,СТС,
10319,STS,94473-10-01,СТС,
10771,STS,94475-10,СТС,
10321,STS,9447A-10,СТС,
3863,AYATS,ATLANTIS,АЯТС,АТЛАНТИС
3864,AYATS,BRAVO 1,АЯТС,
4929,AYATS,OLIMPIA,АЯТС,ОЛИМПИА
15319,ASTON MARTIN,DB11,АСТОН МАРТИН,
985,ASTON MARTIN,DB7,АСТОН МАРТИН,
986,ASTON MARTIN,DB9,АСТОН МАРТИН,
987,ASTON MARTIN,DBS,АСТОН МАРТИН,ДБС
18664,ASTON MARTIN,DBX,АСТОН МАРТИН,ДБX
15230,ASTON MARTIN,RAPIDE,АСТОН МАРТИН,РАПИДЕ
989,ASTON MARTIN,V12,АСТОН МАРТИН,
990,ASTON MARTIN,V8,АСТОН МАРТИН,
17251,ASTON MARTIN,VANTAGE,АСТОН МАРТИН,ВАНТАГЕ
1579,YUEJIN/NAVECO,NJ1020,YUEJIN | NAVECO,
1580,YUEJIN/NAVECO,NJ1041,YUEJIN | NAVECO,
6593,YUEJIN/NAVECO,NJ1062,YUEJIN | NAVECO,
1805,YUEJIN/NAVECO,NJ1080,YUEJIN | NAVECO,
15448,NURSAN,3ANRS2,НУРСАН,
1538,TATA,407,ТАТА,
1754,TATA,LPT 613,ТАТА,
2175,OTOYOL,E27,ОТОЙЛ,
2176,OTOYOL,E29,ОТОЙЛ,
2177,OTOYOL,M23.9,ОТОЙЛ,
2178,OTOYOL,M24.9,ОТОЙЛ,
2179,OTOYOL,M29,ОТОЙЛ,
8921,SHINERAY,XY125,ШАЙНРЕЙ,
5068,SHINERAY,XY250,ШАЙНРЕЙ,
8922,SHINERAY,XY350,ШАЙНРЕЙ,
10727,HUMBAUR,BALIOS,ХУМБАУР,БАЛИОС
10718,HUMBAUR,BIG ONE,ХУМБАУР,БИГ ОНЕ
10726,HUMBAUR,CARRUS,ХУМБАУР,ЦАРРУС
3429,HUMBAUR,H,ХУМБАУР,Х
3430,HUMBAUR,HA,ХУМБАУР,ХА
10733,HUMBAUR,HF,ХУМБАУР,ХФ
10730,HUMBAUR,HM,ХУМБАУР,ХМ
10732,HUMBAUR,HP,ХУМБАУР,ХП
10721,HUMBAUR,HSA,ХУМБАУР,ХСА
3431,HUMBAUR,HSA 2006,ХУМБАУР,
3432,HUMBAUR,HT,ХУМБАУР,ХТ
3433,HUMBAUR,HU,ХУМБАУР,ХУ
10734,HUMBAUR,L,ХУМБАУР,Л
10725,HUMBAUR,MAXIMUS,ХУМБАУР,МАXИМУС
10724,HUMBAUR,PEGASUS,ХУМБАУР,ПЕГАСУС
10717,HUMBAUR,RAPID,ХУМБАУР,РАПИД
10722,HUMBAUR,REXUS,ХУМБАУР,РЕXУС
10723,HUMBAUR,SPIRIT,ХУМБАУР,СПИРИТ
10729,HUMBAUR,XANTHOS,ХУМБАУР,XАНТХОС
2780,MINSK,125 MOTARD,МИНСК,
2782,MINSK,"3,112",МИНСК,
2783,MINSK,"3,113",МИНСК,
2784,MINSK,"3,115",МИНСК,
2790,MINSK,C4 200,МИНСК,
2789,MINSK,M4 200,МИНСК,
322,SUZUKI,AERIO,СУЗУКИ,АЕРИО
323,SUZUKI,ALTO,СУЗУКИ,АЛТО
11964,SUZUKI,AN,СУЗУКИ,АН
324,SUZUKI,BALENO,СУЗУКИ,БАЛЕНО
2493,SUZUKI,BOULEVARD,СУЗУКИ,БОУЛЕВАРД
6547,SUZUKI,BURGMAN,СУЗУКИ,БУРГМАН
325,SUZUKI,CULTUS,СУЗУКИ,КУЛТУС
2497,SUZUKI,DL V-STROM,СУЗУКИ,
2498,SUZUKI,DR,СУЗУКИ,ДР
8996,SUZUKI,DR-Z,СУЗУКИ,ДР З
17365,SUZUKI,EN,СУЗУКИ,ЕН
326,SUZUKI,ESCUDO,СУЗУКИ,ЕСКУДО
2499,SUZUKI,GN,СУЗУКИ,ГН
18641,SUZUKI,GRAND VITARA,СУЗУКИ,ГРАНД ВИТАРА
2500,SUZUKI,GS,СУЗУКИ,ГС
2501,SUZUKI,GSF,СУЗУКИ,ГСФ
2502,SUZUKI,GSR,СУЗУКИ,ГСР
2503,SUZUKI,GSX,СУЗУКИ,ГСX
2504,SUZUKI,GV,СУЗУКИ,ГВ
11965,SUZUKI,GW,СУЗУКИ,ГW
11961,SUZUKI,GZ,СУЗУКИ,ГЗ
8995,SUZUKI,HAYABUSA,СУЗУКИ,ХАЙБУСА
327,SUZUKI,IGNIS,СУЗУКИ,ИГНИС
2506,SUZUKI,INTRUDER,СУЗУКИ,ИНТРУДЕР
328,SUZUKI,JIMNY,СУЗУКИ,ДЖИМИ
329,SUZUKI,KIZASHI,СУЗУКИ,КИЗАШИ
330,SUZUKI,LIANA,СУЗУКИ,ЛИАНА
2510,SUZUKI,RF,СУЗУКИ,РФ
2512,SUZUKI,RM,СУЗУКИ,РМ
2513,SUZUKI,RV,СУЗУКИ,РВ
2514,SUZUKI,SFV 650,СУЗУКИ,
332,SUZUKI,SPLASH,СУЗУКИ,СПЛАШ
2516,SUZUKI,SV,СУЗУКИ,СВ
333,SUZUKI,SWIFT,СУЗУКИ,СWИФТ
334,SUZUKI,SX4,СУЗУКИ,
2518,SUZUKI,TL 1000,СУЗУКИ,
2519,SUZUKI,TR 50 SD,СУЗУКИ,
2521,SUZUKI,TU 250,СУЗУКИ,
18642,SUZUKI,VITARA,СУЗУКИ,ВИТАРА
335,SUZUKI,VITARA/GRAND VITARA,СУЗУКИ,VITARA | GRAND VITARA | ВИТАРА | ГРАНД ВИТАРА
2522,SUZUKI,VL,СУЗУКИ,ВЛ
2524,SUZUKI,VS,СУЗУКИ,ВС
2525,SUZUKI,VX 800,СУЗУКИ,
2526,SUZUKI,VZ,СУЗУКИ,ВЗ
2527,SUZUKI,VZR,СУЗУКИ,ВЗР
336,SUZUKI,WAGON R,СУЗУКИ,WАГОН Р
2528,SUZUKI,XF 650,СУЗУКИ,
18657,SUZUKI,XL-7,СУЗУКИ,
10078,PHM,860400,ПХМ,
15172,LIAZ,4292,ЛИАЗ,
15560,LIAZ,5250,ЛИАЗ,
15561,LIAZ,5251,ЛИАЗ,
2402,LIAZ,5256,ЛИАЗ,
15610,LIAZ,5290,ЛИАЗ,
15565,LIAZ,5291,ЛИАЗ,
2403,LIAZ,5292,ЛИАЗ,
2404,LIAZ,5293,ЛИАЗ,
2405,LIAZ,6212,ЛИАЗ,
2406,LIAZ,6213,ЛИАЗ,
